update,reward_total,energy_cost_total
877,-17.069282,17.069282
878,-16.890189,16.890189
879,-17.268573,17.268573
880,-17.097683,17.097683
881,-18.617035,18.617035
882,-16.956642,16.956642
883,-16.771651,16.771651
884,-18.129162,18.129162
885,-17.446958,17.446958
886,-18.880979,18.880979
887,-18.552725,18.552725
888,-17.039178,17.039178
889,-17.279091,17.279091
890,-18.234562,18.234562
891,-17.799604,17.799604
892,-18.742712,18.742712
893,-17.144378,17.144378
894,-16.944593,16.944593
